partido,p_local,p_empate,p_visitante,prediccion,confianza,marcador_probable,goles_local,goles_visitante,alpha
Puebla vs León,0.242020934587992,0.3171297493207232,0.44084932428692347,Victoria Visitante,0.44084932428692347,1-1,1.2327770772678341,1.2290511142681457,0.5500000000000002
FC Juárez vs Tijuana,0.31990610172323086,0.2834895543582868,0.396604327527205,Victoria Visitante,0.396604327527205,1-1,1.2766796435868657,1.292218007613741,0.5500000000000002
Tigres vs Guadalajara,0.3539835702685763,0.3055365521738147,0.34047987755760906,Victoria Local,0.3539835702685763,1-1,1.4095530142114816,0.8968949918755653,0.5500000000000002
América vs Cruz Azul,0.5148262350997054,0.32062641277436277,0.16454739310412514,Victoria Local,0.5148262350997054,2-1,1.6315093752240561,0.906899410133617,0.5500000000000002
Pachuca vs Santos,0.5074054393908658,0.26599297952138,0.22660159747903155,Victoria Local,0.5074054393908658,2-1,1.8951030324995521,1.072751920414503,0.5500000000000002
Toluca vs Atl. San Luis,0.4715716624984969,0.22067923307731302,0.3077490962285514,Victoria Local,0.4715716624984969,2-1,2.194975270530553,1.112721327018664,0.5500000000000002
